node_id,ntype,key,label,community
"('user', 'yowah2i')",(,',yowah2i,0
"('user', 'laquefaltaba10')",(,',laquefaltaba10,0
"('user', 'guillermorocaf1')",(,',guillermorocaf1,0
"('user', 'curricu1973')",(,',curricu1973,0
"('user', 'jfsj1964')",(,',jfsj1964,0
"('topic', '#proof')",(,',#proof,0
"('user', 'imaria84197')",(,',imaria84197,0
"('user', 'wangtunfrito')",(,',wangtunfrito,0
"('user', 'diazperez51914')",(,',diazperez51914,0
"('topic', '#pucherazoindra')",(,',#pucherazoindra,0
"('topic', '#pucherazo')",(,',#pucherazo,0
"('user', 'maiteluna73')",(,',maiteluna73,0
"('user', 'filomatick')",(,',filomatick,0
"('user', 'tadeoeus')",(,',tadeoeus,0
"('user', 'anto05466940')",(,',anto05466940,0
"('user', 'antonioruizalb1')",(,',antonioruizalb1,0
"('user', 'baneadomike')",(,',baneadomike,0
"('topic', '#urgent')",(,',#urgent,0
"('topic', '#rigging')",(,',#rigging,0
"('topic', 'pucherazo')",(,',pucherazo,0
"('user', 'lolaandaluza')",(,',lolaandaluza,0
"('user', 'k2maskedos')",(,',k2maskedos,0
"('user', 'lydiapanter')",(,',lydiapanter,0
"('user', 'lletrosergi')",(,',lletrosergi,0
"('user', 'angelessanrroma')",(,',angelessanrroma,0
"('user', 'jaeg1970')",(,',jaeg1970,0
"('user', 'antonio52021598')",(,',antonio52021598,0
"('user', 'bodeloncelia')",(,',bodeloncelia,0
"('user', 'betaniatv')",(,',betaniatv,0
"('user', 'bok3ron84')",(,',bok3ron84,0
"('user', 'algabahd')",(,',algabahd,0
"('user', 'anamkra')",(,',anamkra,0
"('user', 'el_as_del_legon')",(,',el_as_del_legon,0
"('user', 'sofia67926381')",(,',sofia67926381,0
"('user', 'ferna1_diez')",(,',ferna1_diez,1
"('user', 'quotesforgoal')",(,',quotesforgoal,1
"('topic', 'fraude')",(,',fraude,1
"('user', 'gary_garcia_lc')",(,',gary_garcia_lc,1
"('user', 'tugonews')",(,',tugonews,1
"('user', 'federicograu4')",(,',federicograu4,1
"('user', 'lagrima75')",(,',lagrima75,1
"('user', 'fabril')",(,',fabril,1
"('user', 'donabrahan3')",(,',donabrahan3,1
"('user', 'marccbg')",(,',marccbg,1
"('user', 'diglossos')",(,',diglossos,1
"('user', 'verew13')",(,',verew13,1
"('user', 'rerumnovarumxiv')",(,',rerumnovarumxiv,1
"('user', 'ineslorenzo')",(,',ineslorenzo,1
"('user', 'obnibium')",(,',obnibium,1
"('user', 'angelh49')",(,',angelh49,1
"('user', 'andvilla1')",(,',andvilla1,1
"('user', 'fereze')",(,',fereze,1
"('user', 'mazito95')",(,',mazito95,1
"('user', 'laranarene7933')",(,',laranarene7933,1
"('user', 'jorgehi19425539')",(,',jorgehi19425539,2
"('user', '8qhpq5cyxg')",(,',8qhpq5cyxg,2
"('user', 'elsisifofeliz')",(,',elsisifofeliz,2
"('user', 'despistao84')",(,',despistao84,2
"('user', 'hernand09064134')",(,',hernand09064134,2
"('topic', 'fraude electoral')",(,',fraude electoral,2
"('user', 'odiadoratodo')",(,',odiadoratodo,2
"('user', 'danidani34205')",(,',danidani34205,2
"('user', 'franxuh_')",(,',franxuh_,2
"('user', 'juanjodemocrata')",(,',juanjodemocrata,2
"('user', 'boira__')",(,',boira__,2
"('user', 'aniscartujopapi')",(,',aniscartujopapi,2
"('user', 'samv1543906')",(,',samv1543906,2
"('user', 'ferdiazdiaz2000')",(,',ferdiazdiaz2000,2
"('user', 'jobemofa')",(,',jobemofa,2
"('user', 'nakamonosatoshi')",(,',nakamonosatoshi,3
"('candidate', 'kast')",(,',kast,3
"('candidate', 'franco parisi')",(,',franco parisi,3
"('user', 'generalwolf821')",(,',generalwolf821,3
"('candidate', 'parisi')",(,',parisi,3
"('user', 'andesspo')",(,',andesspo,3
"('user', 'capri9015')",(,',capri9015,3
"('user', 'pedrovalen53941')",(,',pedrovalen53941,3
"('user', 'tthoro_veloz')",(,',tthoro_veloz,3
"('topic', '#vivaespaña')",(,',#vivaespaña,4
"('user', 'corajeespana')",(,',corajeespana,4
"('topic', '#vivavox')",(,',#vivavox,4
"('user', 'maraojiplatica')",(,',maraojiplatica,5
"('user', 'jav646')",(,',jav646,5
"('topic', '#alert')",(,',#alert,5
"('topic', '#sánchezcorrupción')",(,',#sánchezcorrupción,6
"('user', 'manuel_palao_l')",(,',manuel_palao_l,6
"('topic', '#psoecorrupción')",(,',#psoecorrupción,6
"('topic', '#exclusive')",(,',#exclusive,7
"('user', 'urkyland')",(,',urkyland,7
