node,ntype,label,community
user:anto05466940,user,anto05466940,0
user:guillermorocaf1,user,guillermorocaf1,0
candidate:guillermorocaf1,candidate,guillermorocaf1,0
user:filomatick,user,filomatick,0
user:lletrosergi,user,lletrosergi,0
topic:pucherazo,topic,pucherazo,0
user:laquefaltaba10,user,laquefaltaba10,2
candidate:laquefaltaba10,candidate,laquefaltaba10,-1
user:el_distrito,user,el_distrito,2
user:espanaesnuestra,user,espanaesnuestra,2
user:obnibium,user,obnibium,2
topic:fraude_electoral,topic,fraude_electoral,1
user:jfsj1964,user,jfsj1964,2
user:k2maskedos,user,k2maskedos,2
user:angelessanrroma,user,angelessanrroma,2
user:curricu1973,user,curricu1973,2
user:lolaandaluza,user,lolaandaluza,2
user:laranarene7933,user,laranarene7933,2
user:manuel_palao_l,user,manuel_palao_l,2
user:bok3ron84,user,bok3ron84,2
user:yowah2i,user,yowah2i,2
user:sofia67926381,user,sofia67926381,0
user:8qhpq5cyxg,user,8qhpq5cyxg,4
user:samv1543906,user,samv1543906,4
candidate:samv1543906,candidate,samv1543906,-1
user:jorgehi19425539,user,jorgehi19425539,4
user:jobemofa,user,jobemofa,4
user:ferdiazdiaz2000,user,ferdiazdiaz2000,4
user:hernand09064134,user,hernand09064134,4
user:acastagne,user,acastagne,9
candidate:acastagne,candidate,acastagne,-1
user:rocionahle,user,rocionahle,9
user:andvilla1,user,andvilla1,1
candidate:andvilla1,candidate,andvilla1,-1
user:angelh49,user,angelh49,1
user:aniscartujopapi,user,aniscartujopapi,1
user:franxuh_,user,franxuh_,3
candidate:franxuh_,candidate,franxuh_,1
user:juanjodemocrata,user,juanjodemocrata,3
user:elsisifofeliz,user,elsisifofeliz,3
user:odiadoratodo,user,odiadoratodo,3
user:danidani34205,user,danidani34205,3
user:despistao84,user,despistao84,3
user:boira__,user,boira__,3
user:baneadomike,user,baneadomike,0
user:antonioruizalb1,user,antonioruizalb1,0
user:bodeloncelia,user,bodeloncelia,0
user:marccbg,user,marccbg,1
user:quotesforgoal,user,quotesforgoal,1
candidate:quotesforgoal,candidate,quotesforgoal,-1
user:interiorgob,user,interiorgob,0
user:corajeespana,user,corajeespana,7
user:vox_es,user,vox_es,7
user:capitana_espana,user,capitana_espana,7
user:anamkra,user,anamkra,10
user:pablocampiq,user,pablocampiq,10
user:el_as_del_legon,user,el_as_del_legon,0
user:jaeg1970,user,jaeg1970,0
user:maiteluna73,user,maiteluna73,0
user:antonio52021598,user,antonio52021598,0
user:wangtunfrito,user,wangtunfrito,1
user:lydiapanter,user,lydiapanter,0
user:urkyland,user,urkyland,0
user:pabloharour,user,pabloharour,-1
candidate:pabloharour,candidate,pabloharour,-1
user:atlanticsurff,user,atlanticsurff,-1
candidate:atlanticsurff,candidate,atlanticsurff,-1
user:maraojiplatica,user,maraojiplatica,0
user:jav646,user,jav646,0
user:mazito95,user,mazito95,1
user:tugonews,user,tugonews,1
candidate:tugonews,candidate,tugonews,-1
user:donabrahan3,user,donabrahan3,1
user:fereze,user,fereze,1
user:federicograu4,user,federicograu4,1
user:fabril,user,fabril,1
user:verew13,user,verew13,1
user:diglossos,user,diglossos,1
user:rerumnovarumxiv,user,rerumnovarumxiv,1
user:critiquero,user,critiquero,11
user:miguelcontigo,user,miguelcontigo,11
candidate:miguelcontigo,candidate,miguelcontigo,-1
user:salvamekofrade8,user,salvamekofrade8,12
user:alvisepereznews,user,alvisepereznews,12
candidate:alvisepereznews,candidate,alvisepereznews,-1
user:ineslorenzo,user,ineslorenzo,6
user:lagrima75,user,lagrima75,6
candidate:lagrima75,candidate,lagrima75,-1
user:vania96590847,user,vania96590847,8
user:adrianaveterin,user,adrianaveterin,8
candidate:adrianaveterin,candidate,adrianaveterin,-1
topic:compra_de_votos,topic,compra_de_votos,8
user:betaniatv,user,betaniatv,0
candidate:betaniatv,candidate,betaniatv,-1
user:imaria84197,user,imaria84197,0
user:algabahd,user,algabahd,0
user:diazperez51914,user,diazperez51914,0
user:pedrovalen53941,user,pedrovalen53941,5
candidate:pedrovalen53941,candidate,pedrovalen53941,-1
user:nakamonosatoshi,user,nakamonosatoshi,5
user:generalwolf821,user,generalwolf821,5
user:andesspo,user,andesspo,5
user:capri9015,user,capri9015,5
user:tthoro_veloz,user,tthoro_veloz,5
user:tadeoeus,user,tadeoeus,0
user:ferna1_diez,user,ferna1_diez,6
candidate:ferna1_diez,candidate,ferna1_diez,-1
user:gary_garcia_lc,user,gary_garcia_lc,6
