indice_original,titulo_original,categoria,url,resultado
0,Cómo Pedro Pascal se convirtió en el actor más cotizado de Hollywood en 2025,cultura,https://www.cnnchile.com/cultura/como-pedro-pascal-se-convirtio-en-el-actor-mas-cotizado-de-hollywood-en-2025_20250831/,Cultura: Cómo Pedro Pascal se convirtió en el actor... - La revelación exclusiva
1,Durán explica por qué no se suspendió el partido entre la U y Colo Colo tras muerte de hincha: “No se cumplieron los requisitos”,pais,https://www.cnnchile.com/pais/delegado-duran-no-suspendio-partido-la-u-colo-colo-muerte-hincha_20250831/,Durán explica por qué no se suspendió el partido entre la U y Colo Colo tras muerte de hincha: “No se cumplieron los requisitos” - Información actualizada
2,Tras muerte de hincha en Monumental: Alcalde de Independencia dice que es una “mala decisión” jugar Supercopa en el Santa Laura,pais,https://www.cnnchile.com/pais/alcalde-independencia-mala-decision-jugar-supercopa-santa-laura-muerte-hincha-monumental_20250831/,¿Sabías esto sobre Tras muerte de hincha en Monumental: Alcalde de...? Te sorprenderá
3,Vicente Pizarro tras victoria de Colo Colo en el superclásico: “Con nuestra gente nos tenemos que hacer fuertes”,deportes,https://www.cnnchile.com/deportes/vicente-pizarro-tras-victoria-de-colo-colo-en-el-superclasico-con-nuestra-gente-nos-tenemos-que-hacer-fuertes_20250831/,Vicente Pizarro tras victoria de Colo Colo en...: El momento que cambió todo
4,Se registra incendio estructural en una vivienda en Cerro Yungay en Valparaíso,pais,https://www.cnnchile.com/pais/se-registra-incendio-estructural-en-una-vivienda-en-cerro-yungay-en-valparaiso_20250831/,Se registra incendio estructural en una vivienda en...: Lo que las autoridades no quieren que sepas
5,"Premier League: “Nos olvidamos de jugar”, dijo Pep Guardiola tras otra derrota del Manchester City",deportes,https://www.cnnchile.com/deportes/premier-league-nos-olvidamos-jugar-pep-guardiola-otra-derrota-manchester-city_20250831/,"¡Insólito! Premier League: “Nos olvidamos de jugar”, dijo Pep... - Así se vivió el momento clave"
6,Vicente Pizarro escribió la historia del Superclásico 198 con un solitario gol en el Monumental,deportes,https://www.cnnchile.com/deportes/vicente-pizarro-escribio-la-historia-del-superclasico-198-con-un-solitario-gol-en-el-monumental_20250831/,¡Insólito! Vicente Pizarro escribió la historia del Superclásico 198... - Así se vivió el momento clave
7,Tragedia en el Superclásico: hincha de Colo Colo murió tras caer del techo del Estadio Monumental,pais,https://www.cnnchile.com/pais/tragedia-en-el-superclasico-hincha-de-colo-colo-murio-tras-caer-del-techo-del-estadio-monumental_20250831/,Tragedia en el Superclásico: hincha de Colo Colo murió tras caer del techo del Estadio Monumental - Información actualizada
8,Decretan prisión preventiva para mujer acusada de violar a hombre con discapacidad en Arica,pais,https://www.cnnchile.com/pais/decretan-prision-preventiva-para-mujer-acusada-de-violar-a-hombre-con-discapacidad-en-arica_20250831/,Decretan prisión preventiva para mujer acusada de violar a hombre con discapacidad en Arica - Información actualizada
9,De conservación a problema mortal: La creciente población de leones que amenaza a localidad en India,mundo,https://www.cnnchile.com/mundo/creciente-poblacion-leones-amenaza-localidad-india_20250831/,De conservación a problema mortal: La creciente población de leones que amenaza a localidad en India - Información actualizada
